"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-01",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-02",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-03",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-04",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-05",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-06",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-07",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-08",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-09",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-17",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-01-20",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-02-04",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-02-06",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-02-23",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-03-05",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-03-11",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-03-14",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-03-15",,,,
"US1NJMS0108","MONTVILLE TWP 0.4 E, NJ US","2022-03-16",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-01",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-02",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-03",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-04",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-05",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-06",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-07",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-08",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-09",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-10",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-11",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-12",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-13",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-14",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-15",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-16",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-17",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-18",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-19",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-20",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-21",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-22",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-23",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-24",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-25",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-26",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-27",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-28",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-29",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-30",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-01-31",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-01",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-02",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-03",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-04",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-05",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-06",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-07",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-08",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-09",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-10",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-11",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-12",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-13",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-14",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-15",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-16",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-17",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-18",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-19",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-20",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-21",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-22",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-23",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-24",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-25",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-26",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-27",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-02-28",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-01",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-02",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-03",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-04",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-05",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-06",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-07",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-08",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-09",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-10",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-11",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-12",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-13",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-14",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-15",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2022-03-16",,,,
"USC00280907","BOONTON 1 SE, NJ US","2022-01-01",,"49","45","47"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-02",,"53","47","50"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-03",,"56","30","30"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-04",,"30","17","18"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-05",,"33","18","28"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-06",,"39","28","35"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-07",,"36","27","27"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-08",,"31","17","17"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-09",,"29","15","27"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-10",,"38","27","27"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-11",,"29","14","14"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-12",,"18","10","16"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-13",,"37","16","27"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-14",,"44","26","36"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-15",,"42","8","8"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-16",,"18","3","3"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-17",,"39","3","39"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-18",,"39","28","30"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-19",,"35","20","23"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-20",,"46","23","37"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-21",,"37","11","11"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-22",,"21","9","9"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-23",,"28","9","17"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-24",,"34","17","24"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-25",,"31","22","28"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-26",,"39","18","18"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-27",,"26","8","9"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-28",,"29","8","27"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-29",,"31","20","20"
"USC00280907","BOONTON 1 SE, NJ US","2022-01-30",,"20","10","10"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-01",,"29","8","12"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-02",,"35","11","28"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-03",,"45","28","38"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-04",,"54","37","40"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-05",,"40","20","20"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-06",,"26","11","14"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-07",,"29","14","28"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-08",,"36","28","34"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-09",,"42","23","23"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-10",,"45","23","30"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-11",,"49","26","27"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-12",,"57","26","37"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-13",,"53","29","29"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-14",,"31","13","13"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-15",,"24","13","13"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-16",,"29","13","15"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-17",,"44","15","37"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-18",,"63","37","56"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-19",,"56","18","19"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-20",,"38","17","18"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-22",,"55","24","31"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-23",,"59","31","51"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-24",,"63","27","27"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-25",,"32","27","28"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-26",,"39","23","24"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-27",,"36","24","29"
"USC00280907","BOONTON 1 SE, NJ US","2022-02-28",,"45","24","24"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-01",,"34","23","26"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-02",,"45","26","36"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-03",,"49","36","37"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-04",,"39","18","18"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-05",,"36","18","21"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-06",,"47","21","39"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-07",,"63","39","53"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-08",,"71","37","37"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-09",,"44","33","36"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-10",,"36","26","27"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-11",,"49","27","29"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-12",,"57","28","42"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-13",,"42","21","22"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-14",,"32","22","30"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-15",,"53","26","36"
"USC00280907","BOONTON 1 SE, NJ US","2022-03-16",,"66","36","43"
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-01",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-02",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-03",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-04",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-05",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-06",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-07",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-08",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-09",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-10",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-11",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-12",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-13",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-14",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-15",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-16",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-17",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-18",,,,
"US1NJMS0106","PEQUANNOCK TWP 1.7 NW, NJ US","2022-01-19",,,,
